,lat,lng,total_square,osm_amenity_points_in_0.001,osm_amenity_points_in_0.005,osm_amenity_points_in_0.0075,osm_amenity_points_in_0.01,osm_building_points_in_0.001,osm_building_points_in_0.005,osm_building_points_in_0.0075,osm_building_points_in_0.01,osm_catering_points_in_0.001,osm_catering_points_in_0.005,osm_catering_points_in_0.0075,osm_catering_points_in_0.01,osm_city_closest_dist,osm_city_nearest_population,osm_crossing_closest_dist,osm_crossing_points_in_0.001,osm_crossing_points_in_0.005,osm_crossing_points_in_0.0075,osm_crossing_points_in_0.01,osm_culture_points_in_0.001,osm_culture_points_in_0.005,osm_culture_points_in_0.0075,osm_culture_points_in_0.01,osm_finance_points_in_0.001,osm_finance_points_in_0.005,osm_finance_points_in_0.0075,osm_finance_points_in_0.01,osm_healthcare_points_in_0.005,osm_healthcare_points_in_0.0075,osm_healthcare_points_in_0.01,osm_historic_points_in_0.005,osm_historic_points_in_0.0075,osm_historic_points_in_0.01,osm_hotels_points_in_0.005,osm_hotels_points_in_0.0075,osm_hotels_points_in_0.01,osm_leisure_points_in_0.005,osm_leisure_points_in_0.0075,osm_leisure_points_in_0.01,osm_offices_points_in_0.001,osm_offices_points_in_0.005,osm_offices_points_in_0.0075,osm_offices_points_in_0.01,osm_shops_points_in_0.001,osm_shops_points_in_0.005,osm_shops_points_in_0.0075,osm_shops_points_in_0.01,osm_subway_closest_dist,osm_train_stop_closest_dist,osm_train_stop_points_in_0.005,osm_train_stop_points_in_0.0075,osm_train_stop_points_in_0.01,osm_transport_stop_closest_dist,osm_transport_stop_points_in_0.005,osm_transport_stop_points_in_0.0075,osm_transport_stop_points_in_0.01,reform_count_of_houses_1000,reform_count_of_houses_500,reform_house_population_1000,reform_house_population_500,reform_mean_floor_count_1000,reform_mean_floor_count_500,reform_mean_year_building_1000,reform_mean_year_building_500,latlng,region,realty_type,floor,loc,city,street,ts_eq_10,ts_eq_1000,y_pred,y_true,metric
276097,52.27754294942274,104.29469321191664,347.7941971763533,0,43,102,230,0,1,1,1,0,13,36,92,1.3183731953855464,623562.0,0.145194444252712,0,14,34,68,0,2,8,17,0,2,3,4,0,2,4,1,5,10,1,8,14,0,1,4,0,4,7,18,0,24,41,95,59.81014607365358,2.2869315822762566,0,0,0,0.1219752107982748,15,26,42,293,63,1604.0,292.0,2.6449275362318843,2.3114754098360657,1937.639405204461,1928.7,5452.2703037828405,иркутская область,110,unknown,105.0,иркутск,s33298,False,False,100600.0,104737.22763559864,0.0
277134,61.7518983,34.454765014250825,90.35544677739573,0,6,8,9,0,0,0,0,0,0,0,0,5.3343181656411165,280170.0,0.9401226887930356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,6,7,296.4921970368502,91.33229939980758,0,0,0,0.4892680788498957,2,2,2,46,22,915.0,393.0,6.309523809523809,7.571428571428571,1982.809523809524,1987.142857142857,2127.647145110415,карелия,110,ground,36.0,петрозаводск,s10390,False,False,36800.0,37518.49081496744,0.0
275737,54.74227291615341,20.50476754150377,448.91246923421136,1,17,30,54,0,1,1,1,1,4,6,8,3.931265265587596,453461.0,0.1053915306422157,0,11,26,43,0,0,0,0,0,0,1,2,0,3,4,0,0,0,0,0,1,0,3,6,0,1,2,5,0,11,15,27,813.8343414167365,2.643801672164797,0,0,0,0.0792643490862651,9,16,30,153,41,2907.0,793.0,6.423841059602648,7.15,1984.6513157894733,1990.756097560976,1122.4775808392835,калининградская область,10,underground,25.0,калининград,s6671,False,False,29900.0,25490.492655551163,0.023483217555940402
275756,56.315430458418255,44.01210066944819,99.79592482035656,1,33,100,176,0,0,1,1,0,1,11,22,1.9041739907874908,1252236.0,0.0430444103088314,3,33,63,100,0,0,2,4,0,3,9,13,1,5,7,5,8,14,0,0,1,2,5,11,0,2,4,11,1,21,60,107,1.2581343712886868,4.338149865968475,0,0,0,0.0484930005269322,16,25,33,218,58,3190.0,693.0,5.735751295336788,4.452830188679245,1964.747422680413,1951.4528301886792,2478.560394579213,нижегородская область,100,first,45.0,нижний новгород,s18894,False,False,51600.0,41063.80102571165,0.5048689011388175
279399,53.82959,87.1818299023016,154.06937512194486,4,27,53,76,0,0,0,0,0,0,5,7,8.46328452258208,552105.0,0.4646221311975622,0,0,6,13,0,0,0,0,1,3,7,8,2,4,7,0,1,1,0,1,1,1,1,2,0,0,1,1,3,20,33,48,303.13193428475125,1.110530757059714,0,0,0,0.4533584195673894,2,3,3,170,60,2964.0,963.0,5.1437125748503,5.203389830508475,1963.553571428572,1962.8983050847453,4692.962159090635,кемеровская область,110,first,85.0,новокузнецк,s32218,False,False,44200.0,39800.2522898958,0.0
278333,52.254395,104.35808189337246,92.2343739933684,0,15,33,47,0,0,0,0,0,3,6,13,6.38437903907536,623562.0,0.1542222701243658,0,3,14,25,0,0,0,0,0,3,4,4,0,2,2,0,1,1,1,1,1,1,2,2,0,0,0,0,0,5,13,17,60.73902431105552,6.10455523169338,0,0,0,0.1164765383539849,5,14,24,178,46,3037.0,1093.0,8.315151515151515,8.4,1992.7383720930236,1987.2608695652173,5453.168432698632,иркутская область,10,unknown,105.0,иркутск,s7405,False,False,44000.0,39800.779699160135,0.0
278968,59.92754,30.29494964233256,111.3451236670217,3,137,241,469,0,0,0,3,1,51,78,130,1.8405842493683733,5381736.0,0.0422713077255281,2,43,95,176,0,4,7,24,0,0,2,5,6,10,18,14,34,51,3,9,21,6,10,21,1,11,32,63,0,62,100,221,2.2763653799856933,2.5379475443953257,0,0,0,0.2167579686030087,12,20,45,211,29,3066.0,475.0,4.375690607734806,3.96,1874.588888888889,1876.6,1815.5018064888702,санкт-петербург,10,other,35.0,санкт-петербург,s20788,False,False,106200.0,107341.92577433864,0.0
275901,59.85003836124076,30.27067092205401,2291.564073118805,1,99,143,180,0,0,0,0,0,12,20,22,10.092099773566789,5381736.0,0.1952347955383151,0,10,31,48,0,0,0,0,0,5,9,11,3,7,9,0,0,0,1,1,2,4,8,12,0,7,12,16,1,80,108,135,0.2391616648615026,1.5078326521331409,0,0,0,0.1826017455435582,5,18,29,106,25,2839.0,784.0,6.628571428571429,7.36,1966.428571428572,1968.96,1811.7008159054278,санкт-петербург,110,manylevels,35.0,санкт-петербург,s13307,False,False,136400.0,146132.06932688667,0.0
277611,56.013885,92.97652901407255,27.940849318784757,0,31,51,60,0,0,0,0,0,8,8,8,6.311768806835843,1095286.0,0.0406372010577777,1,15,26,38,0,1,1,1,0,8,9,9,3,16,18,0,2,2,0,0,0,0,1,2,0,1,1,1,0,9,11,14,4.242479149949041,2.1966168823014858,0,0,0,0.0841368212449513,5,8,12,106,41,2306.0,853.0,5.504761904761906,4.951219512195122,1965.3238095238096,1961.7317073170727,5207.976603893424,красноярский край,10,unknown,95.0,красноярск,s32021,False,False,50100.0,41158.376643434734,0.2009978441719232
276644,51.751263,36.19498892041924,230.5097609924649,7,168,252,397,0,0,0,0,0,21,32,49,1.5817694031819207,443212.0,0.0817124722697531,0,18,35,49,0,0,10,11,0,10,12,23,2,3,9,8,12,31,0,0,1,5,13,15,0,5,11,21,5,131,176,266,430.1472623513532,2.4779992881521675,0,0,0,0.0326860659712585,15,17,30,156,44,2197.0,590.0,5.167832167832168,4.075,1968.8461538461536,1963.170731707317,1873.1363909027023,курская область,10,unknown,35.0,курск,s9675,False,False,53100.0,64422.43459046157,0.03242388183855911
279390,55.029312,82.96975441116331,111.29944538059736,2,11,30,58,0,0,0,0,0,3,6,9,2.768230566421132,1625600.0,0.6301215804308954,0,0,7,10,0,0,0,0,0,0,1,2,1,1,4,1,6,7,0,0,0,0,1,3,0,0,0,1,2,5,13,30,1.129126420671387,2.908586914500237,0,0,0,0.0778323306305769,2,7,9,153,69,2782.0,1071.0,5.784313725490196,5.173913043478262,1969.614379084968,1968.304347826087,4565.768502055282,новосибирская область,10,unknown,85.0,новосибирск,s4336,False,False,55500.0,57655.27382509907,0.0
275586,54.97426899735472,73.3989546416127,195.2054636307696,1,59,108,181,0,0,1,1,1,8,13,22,2.7826191513255023,1164815.0,0.1427987591990641,0,22,27,34,0,0,2,3,0,1,2,3,6,15,23,1,2,2,0,0,1,0,2,4,0,6,12,20,0,40,70,123,3.052897990202176,3.346760765401217,0,0,0,0.1355427158193352,6,10,14,129,42,2738.0,796.0,6.310077519379845,5.7142857142857135,1974.7364341085272,1973.0,4035.0538765926544,омская область,10,unknown,75.0,омск,s23839,False,False,29700.0,21392.84383914012,2.524173585223913
277493,58.5982,49.669493863583526,282.20776815933567,0,51,111,171,0,0,0,0,0,16,25,39,0.6090874394304089,496986.0,0.0384411143799415,2,50,84,134,0,1,2,3,0,4,8,15,0,3,5,4,10,11,1,2,5,2,6,12,0,3,6,12,0,20,50,73,306.99102826409325,2.3013840495476883,0,0,0,0.1484807010621884,4,11,22,225,56,3129.0,692.0,5.370558375634519,5.4,1972.3065326633168,1974.2619047619048,2910.5429353170402,кировская область,10,unknown,45.0,киров,s14817,False,False,46100.0,49732.86203828302,0.0
276622,52.281334,104.28284653539995,67.92303665621026,4,72,137,227,0,0,0,0,0,27,52,82,0.9202423602508708,623562.0,0.0489397295846854,1,28,61,95,1,8,13,18,0,4,6,10,5,8,11,11,19,31,1,7,18,1,5,5,0,7,11,16,3,13,26,50,60.23502914000817,1.326419991740279,0,0,0,0.0906764938323203,9,18,29,249,86,1971.0,682.0,3.2970711297071134,3.0843373493975905,1947.467248908297,1942.8815789473688,5452.046330187988,иркутская область,100,unknown,105.0,иркутск,s14207,False,False,101600.0,110875.490418926,0.0
278985,54.721333,20.4803364059896,149.9600719384697,0,56,112,184,0,2,2,2,0,12,21,42,2.488504337822025,453461.0,0.1421548091516194,0,6,37,74,0,7,10,18,0,2,2,8,2,6,9,1,6,9,1,2,2,1,2,5,0,4,10,15,0,35,68,102,816.8752930479884,1.534340288147919,0,0,0,0.140197997521745,7,16,23,310,86,2526.0,649.0,3.611683848797252,3.6,1958.2574257425745,1955.373493975904,1120.71130842418,калининградская область,100,unknown,25.0,калининград,s7543,False,False,54900.0,57115.203329018914,0.0
276530,52.289616,104.2900637652582,260.1887571746696,2,72,144,192,0,0,0,1,0,18,50,66,0.416317735095192,623562.0,0.0595348144821863,1,12,43,73,1,3,6,9,0,3,6,8,2,4,9,7,14,18,7,13,15,1,1,1,0,6,11,13,0,25,43,58,59.20477453703451,1.942672161788428,0,0,0,0.2107496773659444,5,14,32,237,74,1498.0,351.0,2.763888888888889,2.515151515151515,1937.5507246376808,1934.333333333333,5453.287386900865,иркутская область,10,unknown,105.0,иркутск,s17172,False,False,65600.0,69930.00081008633,0.0
276888,56.047913,92.91061568380134,138.77333397716745,5,29,73,121,0,0,0,0,0,5,17,30,4.8438504779996485,1095286.0,0.0929825879923828,0,26,54,85,0,0,1,2,1,2,8,12,1,2,6,0,2,2,4,4,5,0,1,1,1,1,4,8,2,17,39,66,1.918629341289403,6.144448578004397,0,0,0,0.0705909785701888,7,13,23,82,18,3830.0,683.0,11.621951219512196,15.388888888888893,2004.7682926829264,2011.9444444444448,5207.446104622133,красноярский край,100,second,95.0,красноярск,s2682,False,False,94000.0,93043.81202028648,0.0
278651,54.50515400000001,36.25603596611226,54.16083718087877,1,68,129,339,0,0,0,0,0,13,20,57,0.7189157259328482,342936.0,0.157754778320342,0,27,54,111,0,4,9,21,0,3,5,10,1,1,4,26,43,59,1,1,2,1,1,4,0,8,12,20,0,25,54,203,143.23435670616252,8.910327904737066,0,0,0,0.18876393585198,5,7,18,262,72,1608.0,324.0,2.600790513833992,2.176470588235294,1928.844,1918.7571428571423,1976.1408237624878,калужская область,100,unknown,35.0,калуга,s5661,False,False,37100.0,32532.731983361333,0.0
276915,51.535305,46.04352931487907,393.6337312369441,0,47,107,171,0,0,0,0,0,8,29,46,0.7009184813544815,842097.0,0.0902862564105786,0,24,38,51,0,2,5,12,0,2,5,12,2,4,5,3,9,15,0,3,5,0,1,2,0,6,6,11,0,28,55,80,356.4457959065646,2.9844553071351183,0,0,0,0.1211624311271001,15,18,23,329,87,2335.0,557.0,3.3229166666666665,3.5147058823529416,1933.958333333333,1931.238805970149,2372.867326518734,саратовская область,10,second,45.0,саратов,s12308,False,False,33200.0,31671.57438673772,0.0
279726,61.76215,34.450868924719856,1949.9822406180213,0,2,9,22,0,0,0,0,0,0,0,0,4.348979335287272,280170.0,0.2169865345249149,0,3,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,7,18,297.1225588314816,92.40605005616558,0,0,0,0.1610894620583526,2,5,6,73,19,1369.0,256.0,5.371428571428571,4.055555555555555,1979.357142857143,1967.388888888889,2127.759734158886,карелия,10,unknown,36.0,петрозаводск,s18691,False,False,20300.0,18323.756624919584,0.0
276214,52.53703,103.89760370404257,78.53428975935405,1,49,90,143,0,0,0,0,0,10,14,23,1.0431082277461168,226374.0,0.0560793418744767,2,29,57,111,0,0,1,1,1,2,3,8,3,4,5,0,1,1,0,0,0,3,5,7,1,1,3,5,0,26,45,75,59.9162096681772,2.013577909125304,0,0,0,0.0622293110216396,11,15,20,218,68,2719.0,940.0,4.108808290155441,4.1875,1959.0408163265304,1959.640625,5458.4715227273955,иркутская область,100,unknown,105.0,ангарск,s2176,False,False,40900.0,36188.01428915317,0.0
276300,54.9913424,73.30066245816916,61.18613477816522,2,22,46,81,0,0,0,0,0,2,2,4,4.69045351176102,1164815.0,0.104205145197519,0,13,21,34,0,0,0,1,0,0,0,0,2,7,8,0,0,0,0,1,1,0,2,3,0,2,2,5,2,19,34,63,0.7059037395540101,5.459402400383278,0,0,0,0.0421989481801844,7,13,22,65,21,2525.0,920.0,10.4,8.571428571428571,2002.3384615384616,1991.857142857143,4030.9018273840056,омская область,10,other,75.0,омск,s25100,False,False,55000.0,57398.62491286647,0.0
276833,45.467964,133.39479533314594,431.17283825037833,1,10,15,18,0,0,0,0,0,0,2,2,155.3997963073431,1013468.0,0.0616202554694025,2,8,12,13,0,0,0,0,0,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,1,1,1,1,6,9,10,2222.177466356849,1.7967686749004783,0,0,0,0.0627541882826443,3,5,5,66,31,1611.0,579.0,4.6923076923076925,4.466666666666667,1976.1384615384616,1971.333333333333,6065.189751994848,приморский край,110,unknown,134.0,лесозаводск,s20543,False,False,32500.0,28422.476818643263,0.0
275728,52.30905646925076,104.29551459710886,919.1560076658358,0,6,12,24,0,0,0,0,0,1,1,1,2.437553695845612,623562.0,0.2608507414158134,0,5,6,8,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,0,1,1,1,0,3,8,16,56.96831372925539,3.855454718601012,0,0,0,0.2345209370540716,9,11,18,88,20,530.0,81.0,4.607142857142857,2.0,1966.1639344262296,1944.4615384615383,5455.599962549734,иркутская область,10,unknown,105.0,иркутск,s20631,False,False,31400.0,23478.06011169056,1.561147682833015
276017,56.04508334950423,92.91050685705096,183.852435158522,2,28,64,135,0,0,0,0,1,4,14,37,4.431939139014252,1095286.0,0.068568969728868,2,13,41,72,0,2,2,2,1,4,8,14,1,5,5,2,2,2,3,4,6,0,0,1,0,3,7,10,0,12,30,69,1.7935892236347457,5.732340987414823,0,0,0,0.1079237053913438,6,16,24,94,24,4577.0,919.0,11.808510638297872,12.041666666666664,2004.202127659575,2006.416666666667,5207.1771008481055,красноярский край,10,unknown,95.0,красноярск,s2095,False,False,91300.0,89941.69691438822,0.0
276132,56.32439344683156,44.017097392887926,87.09835892663584,1,29,97,210,0,0,1,1,0,5,17,36,1.1503744861241998,1252236.0,0.1103950662831799,0,20,59,99,0,2,5,7,0,5,12,23,1,4,5,4,7,17,1,1,2,1,8,20,0,8,15,19,1,10,44,103,2.016379121148084,4.589841615347544,0,0,0,0.1292463016885497,3,18,37,225,79,3070.0,721.0,5.587301587301587,4.161290322580645,1961.4093264248704,1949.109375,2479.236311944523,нижегородская область,10,unknown,45.0,нижний новгород,s23775,False,False,54800.0,51964.23969149996,0.0
276422,54.51260799999999,36.26010865511666,170.165369304886,26,281,481,690,0,0,0,0,9,53,85,105,0.3251454075956277,342936.0,0.0065333491742278,2,48,137,204,3,11,20,24,2,14,24,33,4,13,26,28,47,81,0,1,1,4,5,7,1,19,41,56,17,194,327,463,142.36557748381748,8.86652012562607,0,0,0,0.1884521010734852,17,29,49,406,126,3652.0,966.0,3.4376590330788805,2.884297520661157,1940.1969696969693,1926.6446280991736,1976.6330891537814,калужская область,10,unknown,35.0,калуга,s7108,False,False,69700.0,72029.93211879137,0.0
278300,52.98427220000001,36.06472415833543,8353.300174154629,2,13,27,47,0,0,0,0,1,2,3,3,1.8166907697386807,319550.0,0.0941421368733586,0,12,15,44,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,1,2,0,0,2,6,2,11,17,30,300.7367644078776,47.267904744154606,0,0,0,0.0812576635322892,8,11,23,129,33,2432.0,630.0,5.307086614173229,5.03125,1969.6456692913391,1967.8125,1910.8631616231605,орловская область,100,manylevels,35.0,орел,s13676,False,False,25000.0,24715.860282237983,0.0
276109,53.30214163590312,34.29590457184748,275.16056342361617,1,10,16,30,0,0,0,0,0,0,1,2,8.212878340699563,406553.0,0.1319688353263535,0,11,41,70,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,13,26,325.4592815061488,6.357306015375217,0,0,0,0.1123852921589465,2,7,14,105,51,2937.0,1405.0,6.4343434343434325,6.235294117647059,1980.1717171717169,1980.470588235294,1828.0451630200316,брянская область,10,unknown,35.0,брянск,s9554,False,False,35200.0,36789.428957577045,0.0
276412,57.14133,65.55622530698597,450.9789852914706,0,29,56,103,0,0,0,0,0,6,18,27,1.5048828375522754,744554.0,0.0129896839785629,4,23,35,87,0,0,0,2,0,1,2,4,3,3,3,0,1,2,1,1,2,0,2,4,1,1,1,2,0,18,28,56,298.9632144560076,1.9219298367649664,0,0,0,0.0987346760775589,6,12,30,133,62,3204.0,1583.0,7.912000000000001,8.05084745762712,1986.456,1990.4745762711864,3745.9699038208364,тюменская область,110,unknown,65.0,тюмень,s14122,False,False,51400.0,53527.993071336045,0.0
277640,52.26332,104.31448588769292,209.61521009024207,10,62,85,109,0,0,0,0,2,16,24,29,3.59173629498336,623562.0,0.0806656783062461,0,12,24,39,0,0,1,2,1,3,3,4,2,4,5,0,0,1,1,1,1,2,3,4,0,2,2,2,7,38,48,64,61.04980721744649,3.2851305149872543,0,0,0,0.1805822994746468,11,17,20,282,61,3489.0,667.0,5.7908745247148286,5.803571428571429,1981.177358490566,1973.875,5451.82135658398,иркутская область,10,unknown,105.0,иркутск,s3265,False,False,60000.0,60186.47212942537,0.0
275992,52.34245217931785,104.22617442797022,618.034167761904,3,4,6,9,0,0,0,1,0,0,0,0,7.213354211275187,623562.0,0.359774219379596,0,4,4,4,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,5,6,56.146839809624126,1.184650008379081,0,0,0,0.1019831397063848,9,16,19,202,60,2473.0,794.0,4.14070351758794,4.52542372881356,1963.782383419689,1961.981132075472,5455.453550829273,иркутская область,110,first,105.0,иркутск,s23945,False,False,35000.0,34824.935452907965,0.0
275596,53.751753705657606,87.16376021087814,323.2405560699281,0,13,40,51,0,0,0,0,0,0,5,6,2.0210736911677865,552105.0,0.8262826207966265,0,0,0,1,0,0,0,0,0,0,4,6,0,3,4,1,1,1,0,1,2,2,2,2,0,0,1,1,0,9,22,26,306.5433095728493,4.976901963267985,0,0,0,0.282924805210465,2,5,5,115,49,3128.0,1516.0,7.596330275229357,6.7142857142857135,1976.8256880733943,1970.877551020408,4685.20497091412,кемеровская область,10,unknown,85.0,новокузнецк,s6730,False,False,40100.0,41724.34351672843,0.0
277344,52.278942,104.2943583028068,136.7103987211569,3,43,145,243,0,1,1,1,3,24,65,94,1.3829403253647288,623562.0,0.0431526105765948,1,24,51,77,0,1,12,21,0,1,3,6,0,1,10,2,8,16,5,11,17,0,1,5,0,3,7,14,0,13,55,80,60.11395803504099,2.1175121865980544,0,0,0,0.0765722275803812,9,27,34,234,96,1368.0,449.0,2.7522522522522523,2.5806451612903225,1940.316037735849,1938.571428571429,5452.3987086396555,иркутская область,100,first,105.0,иркутск,s10398,False,False,80300.0,74624.90121770937,0.0
