,lat,lng,total_square,osm_amenity_points_in_0.001,osm_amenity_points_in_0.005,osm_amenity_points_in_0.0075,osm_amenity_points_in_0.01,osm_building_points_in_0.001,osm_building_points_in_0.005,osm_building_points_in_0.0075,osm_building_points_in_0.01,osm_catering_points_in_0.001,osm_catering_points_in_0.005,osm_catering_points_in_0.0075,osm_catering_points_in_0.01,osm_city_closest_dist,osm_city_nearest_population,osm_crossing_closest_dist,osm_crossing_points_in_0.001,osm_crossing_points_in_0.005,osm_crossing_points_in_0.0075,osm_crossing_points_in_0.01,osm_culture_points_in_0.001,osm_culture_points_in_0.005,osm_culture_points_in_0.0075,osm_culture_points_in_0.01,osm_finance_points_in_0.001,osm_finance_points_in_0.005,osm_finance_points_in_0.0075,osm_finance_points_in_0.01,osm_healthcare_points_in_0.005,osm_healthcare_points_in_0.0075,osm_healthcare_points_in_0.01,osm_historic_points_in_0.005,osm_historic_points_in_0.0075,osm_historic_points_in_0.01,osm_hotels_points_in_0.005,osm_hotels_points_in_0.0075,osm_hotels_points_in_0.01,osm_leisure_points_in_0.005,osm_leisure_points_in_0.0075,osm_leisure_points_in_0.01,osm_offices_points_in_0.001,osm_offices_points_in_0.005,osm_offices_points_in_0.0075,osm_offices_points_in_0.01,osm_shops_points_in_0.001,osm_shops_points_in_0.005,osm_shops_points_in_0.0075,osm_shops_points_in_0.01,osm_subway_closest_dist,osm_train_stop_closest_dist,osm_train_stop_points_in_0.005,osm_train_stop_points_in_0.0075,osm_train_stop_points_in_0.01,osm_transport_stop_closest_dist,osm_transport_stop_points_in_0.005,osm_transport_stop_points_in_0.0075,osm_transport_stop_points_in_0.01,reform_count_of_houses_1000,reform_count_of_houses_500,reform_house_population_1000,reform_house_population_500,reform_mean_floor_count_1000,reform_mean_floor_count_500,reform_mean_year_building_1000,reform_mean_year_building_500,latlng,region,realty_type,floor,loc,city,street,ts_eq_10,ts_eq_1000,y_pred,y_true,metric
275516,56.00623554979169,92.8159402466259,106.87223244419609,1,9,14,26,0,0,0,0,0,0,0,0,3.6010974119630563,1095286.0,0.1446078932765737,0,16,23,50,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,0,1,1,1,0,0,2,2,1,7,11,17,0.7357337021892875,0.9845219892617666,0,0,0,0.2184793769229256,4,6,13,82,16,2791.0,754.0,7.679012345679013,9.5625,1981.58024691358,1983.1875,5198.27141222792,красноярский край,100,unknown,95.0,красноярск,s12582,False,False,60700.0,66630.96519218189,0.0
279503,61.25842,73.43866368978489,174.9748745513327,0,37,86,129,0,0,0,0,0,5,14,17,2.1439969389757256,380632.0,0.1653855133791943,0,19,31,44,0,1,1,1,0,2,5,8,1,2,3,0,0,0,1,3,4,3,6,9,0,3,7,10,0,28,55,85,696.2268268917568,6.952606710966866,0,0,0,0.1282671140826339,6,11,17,58,23,2159.0,717.0,9.517241379310343,8.478260869565217,2002.448275862069,2002.1304347826087,4498.736504547593,ханты-мансийский ао,10,unknown,76.0,сургут,s4742,False,False,55100.0,58391.240606391286,0.0
277770,45.039012,39.00804674025952,493.0150546731829,0,11,20,40,1,52,80,105,0,4,7,9,2.237984798406317,1405000.0,0.21450633846915,0,14,34,58,0,0,0,0,0,2,2,3,0,3,5,0,0,3,0,0,3,0,0,0,0,1,1,1,0,7,9,18,332.85708688366026,2.5978222797239225,0,0,0,0.3754897162567521,5,11,15,76,35,1251.0,506.0,5.9,5.393939393939394,1972.9027777777767,1969.558823529412,1756.8838852311096,краснодарский край,10,other,34.0,краснодар,s20353,False,False,38800.0,42047.39754598733,0.0
277099,58.01259440000001,56.26508239703777,59.10017298646037,2,61,140,235,0,0,1,1,1,8,18,38,0.9048724996398374,1055397.0,0.1537698519359332,0,33,75,126,0,1,3,6,1,2,3,10,6,10,18,2,4,5,1,1,2,2,6,12,0,2,11,21,0,40,97,144,271.39704427437454,0.9898817025707248,0,0,0,0.10777133172351,10,16,26,109,33,2375.0,678.0,6.679611650485437,6.484848484848484,1960.8285714285716,1954.666666666667,3264.083403981933,пермский край,100,underground,55.0,пермь,s13735,False,False,39400.0,32859.46388760833,0.10691040158433172
278134,43.152557,131.91103045271396,391.9876229296202,11,70,102,127,0,0,0,0,2,6,10,12,4.559962035956708,604901.0,0.1683296611363312,0,9,28,42,0,0,0,0,0,7,9,9,2,2,5,3,4,4,1,1,2,3,3,3,1,5,6,7,9,52,78,96,2271.5575348186376,0.5705856559450714,0,1,1,0.0686644693305498,12,21,31,236,91,3022.0,1072.0,4.931330472103005,4.711111111111111,1963.9527896995703,1960.611111111111,5692.298260539475,приморский край,100,third,134.0,владивосток,s32044,False,False,83200.0,88306.35962762269,0.0
275989,59.21079899608007,39.87475964534514,283.84731727806115,0,24,53,87,0,0,0,0,0,7,10,21,1.1964403381750808,311166.0,0.070542379252043,3,21,55,99,0,3,4,7,0,0,4,8,2,2,3,0,0,6,3,5,7,0,2,3,0,3,5,7,0,10,24,31,398.2903115370029,0.7862806085591204,0,0,2,0.1131929629559311,5,15,28,145,42,1860.0,635.0,4.784,6.6944444444444455,1960.437037037037,1979.4054054054047,2361.016378377536,вологодская область,10,unknown,35.0,вологда,s21916,False,False,46100.0,51217.67624725639,0.0
275866,55.02394965130765,82.91317138785455,322.07777320817434,2,118,223,344,0,1,4,4,1,55,89,134,0.5831877316461984,1625600.0,0.0715221237423928,0,54,96,126,0,4,9,16,1,10,16,22,10,14,22,2,5,9,1,1,3,3,7,8,0,7,17,33,0,43,89,138,0.5261305494043459,1.0037690025185144,0,0,0,0.1938562746587818,4,16,27,160,71,3333.0,1355.0,5.782894736842105,5.621212121212121,1961.264516129032,1962.2463768115945,4562.210167875551,новосибирская область,10,unknown,85.0,новосибирск,s13992,False,False,51500.0,57787.28477475585,0.0
279016,57.90725,59.96192843719275,218.5818132815464,0,36,60,81,0,0,0,0,0,8,12,17,0.5177298170748024,353950.0,0.2152892302686948,0,28,39,47,0,2,5,9,0,2,3,4,0,0,0,4,9,10,1,1,1,0,0,0,0,1,3,4,0,17,28,36,119.06541238216104,2.0941185265662523,0,0,0,0.1462340704404462,3,5,9,97,18,1860.0,442.0,5.551724137931035,5.9444444444444455,1967.8709677419356,1964.888888888889,3472.23038049463,свердловская область,100,first,55.0,нижний тагил,s32158,False,False,49000.0,58861.255686573626,0.01503028398038192
278814,59.93160200000001,30.36139142379913,70.2066456086792,27,420,795,1213,1,6,11,13,9,162,311,452,2.464051148391366,5381736.0,0.0396643343432547,1,27,81,151,0,18,31,46,0,11,25,32,7,26,46,10,13,20,40,87,150,6,26,43,2,50,87,142,20,267,463,685,0.110336321811207,0.5313571323463557,0,5,8,0.043943658816597,20,33,48,412,90,7342.0,1787.0,4.75128205128205,5.091954022988506,1883.7577319587629,1875.2325581395344,1819.6068269773432,санкт-петербург,110,unknown,35.0,санкт-петербург,s17146,False,False,1358800.0,1381948.9474085595,0.0
277193,54.51292,36.24794426695861,765.0080709710535,5,183,329,460,0,0,0,0,0,30,48,65,1.0062478856878596,342936.0,0.0138729536760642,2,54,95,142,0,2,9,12,0,7,15,18,5,10,12,15,35,61,1,3,4,5,6,10,0,7,17,24,3,125,215,296,142.71125419426957,8.115527401707627,0,0,0,0.1326327445859649,10,24,36,253,83,3272.0,840.0,4.235537190082645,3.55,1954.8734693877552,1944.373493975904,1975.9812859891736,калужская область,10,unknown,35.0,калуга,s6341,False,False,56900.0,65212.38388593115,0.0
277196,59.92974570000001,30.37710707746888,521.0447734026902,9,147,395,633,0,2,4,6,3,27,85,150,3.4264775797175946,5381736.0,0.0382314553100451,2,70,159,210,0,2,3,6,1,8,18,22,9,21,36,3,4,7,11,32,64,8,15,33,1,21,56,84,4,90,256,379,1.0049795320041417,0.7244101777800283,0,0,0,0.2563472962975553,10,35,53,352,128,5722.0,1915.0,4.927710843373494,4.909090909090909,1905.7921686746988,1906.6611570247933,1820.4923022543805,ленинградская область,100,other,35.0,санкт-петербург,s3286,False,False,112900.0,105255.8298240802,0.0
276905,47.2278962,39.632627409229904,291.6256309435489,3,38,71,95,0,0,0,0,1,6,9,9,6.193014903216027,1114806.0,0.0683234172904667,3,19,21,25,0,0,0,0,0,4,5,9,2,5,6,0,0,0,0,0,1,2,3,4,0,5,7,7,2,25,48,70,432.19474175441087,2.679150808792353,0,0,0,0.0433540525427995,19,25,30,93,36,2053.0,889.0,9.702702702702704,9.666666666666666,1988.554054054054,1986.033333333333,1871.765613416385,ростовская область,10,underground,34.0,ростов-на-дону,s8140,False,False,40700.0,45750.43680773951,0.0
276591,59.933266,30.32769688345689,92.93325439678014,14,349,707,1136,0,1,4,6,6,143,271,411,0.7808398512494382,5381736.0,0.032364733378646,3,45,80,144,0,13,36,53,0,17,27,40,12,23,34,10,24,42,25,54,93,20,42,51,1,44,78,149,7,186,376,615,0.1938327353776889,1.73709875502917,0,0,0,0.1537074005239917,26,41,58,147,31,2710.0,657.0,4.466101694915254,4.592592592592593,1853.4615384615383,1847.0,1817.637924483593,санкт-петербург,110,second,35.0,санкт-петербург,s9576,False,False,256000.0,265330.21102136635,0.0
277998,55.362484,86.05979544110382,189.73088941792423,0,2,7,21,0,0,0,0,0,0,1,3,2.137887831537877,558662.0,0.2546463293053524,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,3,12,198.75706406511523,3.4552138448739065,0,0,0,0.1003359678573689,5,9,12,0,0,1949.0,602.0,6.368644067796612,6.394736842105262,1970.890625,1971.6470588235293,4764.484048151383,кемеровская область,10,unknown,85.0,кемерово,s9952,False,False,25200.0,24413.525990472728,0.0
276263,55.014732,82.92904538923483,6241.591502573741,9,35,60,90,0,0,0,0,1,4,9,20,1.5140119202181477,1625600.0,0.052736513989465,3,15,25,42,0,2,3,9,0,2,4,4,1,2,4,3,6,7,0,1,1,3,4,5,0,2,8,12,8,19,30,38,0.98531843211868,0.5161457190048168,0,3,3,0.1251411652950988,4,11,12,61,23,1353.0,321.0,6.603448275862068,4.869565217391305,1961.2203389830509,1951.695652173913,4562.31920710459,новосибирская область,110,unknown,85.0,новосибирск,s18067,False,False,32000.0,29421.82293158337,0.0
279615,69.34731,88.19761647153074,93.37441715187036,0,18,46,70,0,0,0,0,0,0,1,3,0.357120792075059,178018.0,0.0774187695113455,2,10,32,43,0,0,2,3,0,3,8,11,0,0,0,2,2,2,0,0,0,0,0,0,0,1,3,8,0,13,34,52,1498.866913250977,2.528460337213525,0,0,0,0.0801184818830843,10,16,24,83,29,2554.0,874.0,6.072289156626506,6.758620689655173,1967.2289156626507,1968.7586206896551,6116.267450712347,красноярский край,10,unknown,86.0,норильск,s10922,False,False,42300.0,43073.89671261189,0.0
278493,56.05407,92.91208804933288,94.3005092851504,1,28,65,89,0,0,0,0,0,6,15,16,5.48028521758749,1095286.0,0.1847750695282551,0,25,56,76,0,0,0,0,0,2,5,5,2,2,4,0,0,0,0,3,4,0,1,2,0,0,1,1,1,19,41,60,2.555229679541849,6.747841225611544,0,0,0,0.1822512008570276,5,15,24,103,26,4313.0,1154.0,11.669902912621357,10.961538461538463,2004.504854368932,2003.6153846153843,5208.100687363469,красноярский край,10,first,95.0,красноярск,s2336,False,False,94700.0,99501.05329364906,0.0
279761,52.271404,104.34034137773556,137.89608001707066,0,4,17,36,0,0,0,0,0,1,6,8,4.394539691188935,623562.0,0.4418108716674015,0,1,4,18,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,2,0,0,0,1,0,2,6,16,59.4651059974009,5.291603783274932,0,0,0,0.4885401694020982,0,1,16,221,64,2122.0,614.0,6.3138297872340425,6.825396825396825,1984.0054347826087,1990.419354838709,5454.016137653532,иркутская область,10,unknown,105.0,иркутск,s19642,False,False,60500.0,80190.82194817351,0.4463418944122364
276838,56.812332,60.63325680061699,288.7530456856854,4,32,74,186,0,0,0,0,0,5,10,22,3.258828374057585,1468833.0,0.1781688479689966,0,9,18,33,0,2,2,24,0,0,2,6,1,5,10,0,0,7,1,1,3,2,5,10,0,4,6,9,4,20,43,94,1.6646733733576748,2.27633073650283,0,0,0,0.2300802008856183,1,5,16,123,13,2809.0,391.0,8.40495867768595,10.923076923076923,1980.967213114754,1983.4615384615383,3444.71671559791,свердловская область,100,unknown,65.0,екатеринбург,s14390,False,False,50000.0,54724.96389596824,0.0
277209,59.933754,30.351056507218644,230.26278123525955,17,311,686,1234,1,2,5,10,13,127,280,468,1.88024642091914,5381736.0,0.0511560772453121,1,34,91,161,3,25,44,69,0,13,30,42,11,28,53,8,23,52,51,88,130,13,26,47,4,42,90,147,11,147,345,657,0.7727942147069495,1.0504132426222716,0,0,0,0.0348880320609352,25,38,65,362,78,7231.0,1511.0,4.829971181556196,4.9324324324324325,1873.679190751445,1877.0675675675675,1819.0527543437415,санкт-петербург,110,first,35.0,санкт-петербург,s13617,False,False,476800.0,441725.7511368274,0.0
277087,53.422394,59.00012062353812,288.53208961232866,8,69,100,137,0,0,0,1,3,12,14,23,0.946247098648678,413253.0,0.037194064623196,3,47,63,98,0,0,0,0,1,5,6,6,1,3,3,3,7,8,0,2,3,9,11,14,0,0,1,2,2,38,56,76,389.1741198455447,11.410056854960828,0,0,0,0.0662908239696965,22,26,34,244,80,3112.0,1164.0,3.7822222222222224,4.063291139240507,1952.4625,1952.443037974684,3151.927689998179,челябинская область,110,first,55.0,магнитогорск,s32173,False,False,48300.0,51172.81762260217,0.0
277671,51.75015300000001,36.19332267316389,34.34876539108235,19,174,269,394,0,0,0,0,1,22,34,50,1.4046205885412053,443212.0,0.1695407651092981,0,22,35,50,0,1,3,11,1,8,12,23,3,6,8,5,14,33,0,1,1,3,11,15,0,7,14,22,18,140,194,260,430.2946455878961,2.6081805489848344,0,0,0,0.0441661503604862,14,19,33,177,49,2479.0,792.0,4.890909090909091,4.425531914893617,1967.490909090909,1965.893617021277,1873.0099859146007,курская область,100,unknown,35.0,курск,s20658,False,False,60500.0,64223.56014498044,0.0
275917,59.9331081200855,30.46385839693345,127.72217045634169,7,25,73,90,0,0,0,0,2,3,8,12,8.363665118410482,5381736.0,0.4962411199873799,0,2,11,29,0,0,0,0,0,0,1,1,0,1,4,0,1,1,0,0,0,9,16,17,1,3,3,4,5,12,44,50,1.252118835517437,1.4291557936725656,0,0,0,0.1865484510417031,6,12,29,34,11,1669.0,565.0,15.033333333333331,14.8,1997.3,1996.4,1825.793719058387,санкт-петербург,10,other,35.0,санкт-петербург,s5865,False,False,84800.0,78803.85969043992,0.0
275875,65.9915678145565,57.55553740710921,209.9977046949068,4,27,51,79,0,0,0,0,0,0,5,6,270.30331616293927,44389.0,0.0139309595120122,5,5,13,24,0,0,0,0,0,4,5,8,0,2,3,2,5,8,0,1,2,0,2,2,0,0,0,3,4,20,31,48,1027.1111346512414,75.950774294456,0,0,0,0.1517919656088464,1,4,8,85,27,2384.0,842.0,6.535714285714287,5.9230769230769225,1980.607142857143,1980.5,3798.1801499044914,коми,10,unknown,56.0,усинск,s21214,False,False,25200.0,21843.095888424967,0.0006027403798948413
276706,56.31754300000001,44.02282268847439,186.90852158325248,4,74,126,240,0,1,1,1,0,7,12,22,1.593332300653128,1252236.0,0.0773231587357512,2,38,68,113,0,0,2,5,0,5,11,25,2,3,8,3,7,13,0,0,1,7,9,16,1,7,14,25,3,50,85,152,1.6522370731244245,4.578538105729226,0,0,0,0.1702702789172532,11,28,45,314,70,4506.0,1512.0,6.014705882352941,8.016666666666667,1966.445652173913,1984.2666666666669,2479.2572097395323,нижегородская область,100,first,45.0,нижний новгород,s3821,False,False,64000.0,66877.63561616035,0.0
275949,61.78384280554153,34.39363110938652,48.52071638381299,2,11,32,67,0,0,0,0,1,1,4,8,0.7148148712354494,280170.0,0.056337769731443,0,8,20,28,0,1,4,5,0,1,2,2,0,0,2,0,1,6,0,2,2,0,0,2,0,0,0,0,1,7,16,37,296.55528060129365,94.16995934592671,0,0,0,0.0964775903448728,3,10,15,155,51,1168.0,378.0,3.3758389261744965,3.0,1961.051612903225,1955.8235294117649,2124.9706979741195,карелия,10,unknown,36.0,петрозаводск,s2652,False,False,32200.0,28853.654775531188,0.0
279187,52.286797,104.27843725221088,178.19327296065902,0,35,87,149,0,0,0,0,0,13,28,51,0.4701251895847127,623562.0,0.1087977499461183,0,25,45,58,0,3,5,10,0,0,2,7,6,9,11,3,13,22,2,7,10,0,2,3,0,2,9,12,0,9,18,29,59.84831737049991,1.113081637867991,0,0,0,0.207343497093273,9,18,19,185,99,1501.0,737.0,3.5777777777777784,3.606382978723404,1951.5344827586207,1955.3152173913047,5452.385480083588,иркутская область,100,unknown,105.0,иркутск,s28343,False,False,42500.0,35287.52738824347,0.13148628031159598
275455,53.75789488385532,87.10472772004974,114.36579185393389,4,10,26,41,0,0,0,0,0,1,1,1,2.081170875157242,552105.0,0.3493833566615369,0,6,9,11,0,0,0,1,0,0,1,1,0,1,2,6,9,15,0,1,2,0,0,1,0,0,0,2,0,3,11,12,302.61424373458567,5.24549570837654,0,0,0,0.3251770607846546,6,9,14,147,32,2602.0,571.0,4.7819548872180455,4.71875,1953.2014925373128,1951.09375,4682.566796661273,кемеровская область,10,unknown,85.0,новокузнецк,s19623,False,False,47100.0,59021.14513945735,0.13209855739436527
276130,56.83478532160007,60.59451791328778,125.95582600749536,3,147,277,455,0,0,1,2,1,63,102,148,0.6672555793358654,1468833.0,0.0640115137069235,0,21,44,72,0,5,21,40,1,9,19,35,2,4,8,4,10,29,5,9,12,2,8,14,0,9,22,34,1,66,119,186,0.2077651945928887,2.37705635889248,0,0,0,0.1274578578436734,16,18,22,67,16,1763.0,621.0,8.492307692307692,6.375,1959.8153846153848,1945.9375,3443.876417267561,свердловская область,100,unknown,65.0,екатеринбург,s7463,False,False,48300.0,41458.9794337044,0.010009295191572537
276187,52.27152,104.3009763748043,78.95975791945706,3,9,27,106,0,0,0,2,2,2,6,32,2.3270421765736136,623562.0,0.1122136820916343,0,4,20,42,0,0,3,8,0,0,0,1,1,1,3,1,3,3,1,1,4,0,0,2,0,0,0,5,0,1,8,55,60.638011268692274,2.8995528713087504,0,0,0,0.168283409671313,6,11,27,109,33,649.0,269.0,5.245098039215686,8.290322580645162,1958.561224489796,1965.7419354838707,5451.970572595111,иркутская область,10,unknown,105.0,иркутск,s25171,False,False,113800.0,112715.64445623616,0.0
277833,53.1985779,50.118129752764425,123.32730751336422,1,21,46,102,0,0,0,0,0,7,11,25,0.061231824175434,1156644.0,0.1046973473903414,1,43,82,149,0,0,2,8,1,4,5,14,1,2,2,0,4,7,0,2,2,0,1,2,0,4,6,10,0,7,16,34,1.7556398479685615,1.546922122095464,0,0,0,0.2798166573707005,7,11,28,293,109,3618.0,1108.0,5.074468085106383,4.268518518518518,1898.147887323944,1919.962962962963,2666.213229854746,самарская область,10,underground,55.0,самара,s13303,False,False,35200.0,31898.85581158656,0.0
277580,51.520434,45.992580212036245,157.8302376861769,0,8,14,32,0,0,0,0,0,0,0,2,3.282158864552335,842097.0,0.5264308706809308,0,0,2,13,0,1,2,4,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,2,0,5,9,21,359.51156243548013,0.6852172347760461,0,1,1,0.6360841664948589,0,0,11,160,49,2132.0,523.0,5.170542635658915,4.815789473684211,1959.8970588235293,1960.6,2369.557693303919,саратовская область,100,other,45.0,саратов,s742,False,False,32400.0,34423.06163666022,0.0
277466,52.2618,104.30289807242184,225.5933671862608,0,2,6,28,0,0,0,0,0,0,2,10,3.362203975267328,623562.0,0.5771213662241729,0,0,7,11,0,0,0,1,0,0,0,0,1,2,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,10,61.53804969886789,2.502556393967028,0,0,0,0.2199062084044328,3,8,9,118,41,1228.0,450.0,7.135135135135133,9.02777777777778,1981.063063063063,1986.361111111111,5451.057198481296,иркутская область,100,underground,105.0,иркутск,s6904,False,False,44400.0,46765.55934062285,0.0
